RM,LSTAT,PTRATIO
6.575,4.98,15.3
6.421,9.14,17.8
7.185,4.03,17.8
6.998,2.94,18.7
7.147,5.33,18.7
6.43,5.21,18.7
6.012,12.43,15.2
6.172,19.15,15.2
5.631,29.93,15.2
6.004,17.1,15.2
6.377,20.45,15.2
6.009,13.27,15.2
5.889,15.71,15.2
5.949,8.26,21
6.096,10.26,21
5.834,8.47,21
5.935,6.58,21
5.99,14.67,21
5.456,11.69,21
5.727,11.28,21
5.57,21.02,21
5.965,13.83,21
6.142,18.72,21
5.813,19.88,21
5.924,16.3,21
5.599,16.51,21
5.813,14.81,21
6.047,17.28,21
6.495,12.8,21
6.674,11.98,21
5.713,22.6,21
6.072,13.04,21
5.95,27.71,21
5.701,18.35,21
6.096,20.34,21
5.933,9.68,19.2
5.841,11.41,19.2
5.85,8.77,19.2
5.966,10.13,19.2
6.595,4.32,18.3
7.024,1.98,18.3
6.77,4.84,17.9
6.169,5.81,17.9
6.211,7.44,17.9
6.069,9.55,17.9
5.682,10.21,17.9
5.786,14.15,17.9
6.03,18.8,17.9
5.399,30.81,17.9
5.602,16.2,17.9
5.963,13.45,16.8
6.115,9.43,16.8
6.511,5.28,16.8
5.998,8.43,16.8
5.888,14.8,21.1
7.249,4.81,17.9
6.383,5.77,17.3
6.816,3.95,15.1
6.145,6.86,19.7
5.927,9.22,19.7
5.741,13.15,19.7
5.966,14.44,19.7
6.456,6.73,19.7
6.762,9.5,19.7
7.104,8.05,18.6
6.29,4.67,16.1
5.787,10.24,16.1
5.878,8.1,18.9
5.594,13.09,18.9
5.885,8.79,18.9
6.417,6.72,19.2
5.961,9.88,19.2
6.065,5.52,19.2
6.245,7.54,19.2
6.273,6.78,18.7
6.286,8.94,18.7
6.279,11.97,18.7
6.14,10.27,18.7
6.232,12.34,18.7
5.874,9.1,18.7
6.727,5.29,19
6.619,7.22,19
6.302,6.72,19
6.167,7.51,19
6.389,9.62,18.5
6.63,6.53,18.5
6.015,12.86,18.5
6.121,8.44,18.5
7.007,5.5,17.8
7.079,5.7,17.8
6.417,8.81,17.8
6.405,8.2,17.8
6.442,8.16,18.2
6.211,6.21,18.2
6.249,10.59,18.2
6.625,6.65,18
6.163,11.34,18
8.069,4.21,18
7.82,3.57,18
7.416,6.19,18
6.727,9.42,20.9
6.781,7.67,20.9
6.405,10.63,20.9
6.137,13.44,20.9
6.167,12.33,20.9
5.851,16.47,20.9
5.836,18.66,20.9
6.127,14.09,20.9
6.474,12.27,20.9
6.229,15.55,20.9
6.195,13,20.9
6.715,10.16,17.8
5.913,16.21,17.8
6.092,17.09,17.8
6.254,10.45,17.8
5.928,15.76,17.8
6.176,12.04,17.8
6.021,10.3,17.8
5.872,15.37,17.8
5.731,13.61,17.8
5.87,14.37,19.1
6.004,14.27,19.1
5.961,17.93,19.1
5.856,25.41,19.1
5.879,17.58,19.1
5.986,14.81,19.1
5.613,27.26,19.1
5.693,17.19,21.2
6.431,15.39,21.2
5.637,18.34,21.2
6.458,12.6,21.2
6.326,12.26,21.2
6.372,11.12,21.2
5.822,15.03,21.2
5.757,17.31,21.2
6.335,16.96,21.2
5.942,16.9,21.2
6.454,14.59,21.2
5.857,21.32,21.2
6.151,18.46,21.2
6.174,24.16,21.2
5.019,34.41,21.2
5.403,26.82,14.7
5.468,26.42,14.7
4.903,29.29,14.7
6.13,27.8,14.7
5.628,16.65,14.7
4.926,29.53,14.7
5.186,28.32,14.7
5.597,21.45,14.7
6.122,14.1,14.7
5.404,13.28,14.7
5.012,12.12,14.7
5.709,15.79,14.7
6.129,15.12,14.7
6.152,15.02,14.7
5.272,16.14,14.7
6.943,4.59,14.7
6.066,6.43,14.7
6.51,7.39,14.7
6.25,5.5,14.7
5.854,11.64,14.7
6.101,9.81,14.7
5.877,12.14,14.7
6.319,11.1,14.7
6.402,11.32,14.7
5.875,14.43,14.7
5.88,12.03,14.7
5.572,14.69,16.6
6.416,9.04,16.6
5.859,9.64,16.6
6.546,5.33,16.6
6.02,10.11,16.6
6.315,6.29,16.6
6.86,6.92,16.6
6.98,5.04,17.8
7.765,7.56,17.8
6.144,9.45,17.8
7.155,4.82,17.8
6.563,5.68,17.8
5.604,13.98,17.8
6.153,13.15,17.8
6.782,6.68,15.2
6.556,4.56,15.2
7.185,5.39,15.2
6.951,5.1,15.2
6.739,4.69,15.2
7.178,2.87,15.2
6.8,5.03,15.6
6.604,4.38,15.6
7.287,4.08,12.6
7.107,8.61,12.6
7.274,6.62,12.6
6.975,4.56,17
7.135,4.45,17
6.162,7.43,14.7
7.61,3.11,14.7
7.853,3.81,14.7
